CaseID,ActivityID,startTime,CompleteTimestamp
173688,10,2011-10-01 08:38:44.546,2011-10-01 08:38:44.546
173688,7,2011-10-01 08:38:44.880,2011-10-01 08:38:44.880
173688,8,2011-10-01 08:39:37.906,2011-10-01 08:39:37.906
173688,8,2011-10-01 08:39:37.906,2011-10-01 08:39:37.906
173688,20,2011-10-01 19:36:46.437,2011-10-01 19:36:46.437
173688,1,2011-10-01 19:42:43.308,2011-10-01 19:42:43.308
173688,15,2011-10-01 19:45:09.243,2011-10-01 19:45:09.243
173688,6,2011-10-01 19:45:09.243,2011-10-01 19:45:09.243
173688,13,2011-10-01 19:45:11.197,2011-10-01 19:45:11.197
173688,16,2011-10-01 19:45:11.380,2011-10-01 19:45:11.380
173688,16,2011-10-01 19:45:11.380,2011-10-01 19:45:11.380
173688,20,2011-10-01 19:45:13.917,2011-10-01 19:45:13.917
173688,22,2011-10-01 20:15:41.290,2011-10-01 20:15:41.290
173688,22,2011-10-01 20:17:08.924,2011-10-01 20:17:08.924
173688,22,2011-10-09 01:26:57.720,2011-10-09 01:26:57.720
173688,22,2011-10-09 01:32:00.886,2011-10-09 01:32:00.886
173688,22,2011-10-10 20:32:22.495,2011-10-10 20:32:22.495
173688,17,2011-10-10 20:33:03.668,2011-10-10 20:33:03.668
173688,17,2011-10-10 20:33:03.668,2011-10-10 20:33:03.668
173688,22,2011-10-10 20:33:05.791,2011-10-10 20:33:05.791
173688,23,2011-10-13 19:05:26.925,2011-10-13 19:05:26.925
173688,9,2011-10-13 19:37:29.226,2011-10-13 19:37:29.226
173688,3,2011-10-13 19:37:29.226,2011-10-13 19:37:29.226
173688,11,2011-10-13 19:37:29.226,2011-10-13 19:37:29.226
173688,2,2011-10-13 19:37:29.226,2011-10-13 19:37:29.226
173688,23,2011-10-13 19:37:37.026,2011-10-13 19:37:37.026
173691,10,2011-10-01 16:08:58.256,2011-10-01 16:08:58.256
173691,7,2011-10-01 16:09:02.195,2011-10-01 16:09:02.195
173691,8,2011-10-01 16:09:56.648,2011-10-01 16:09:56.648
173691,8,2011-10-01 16:09:56.648,2011-10-01 16:09:56.648
173691,20,2011-10-01 19:37:32.393,2011-10-01 19:37:32.393
173691,20,2011-10-01 19:43:13.178,2011-10-01 19:43:13.178
173691,20,2011-10-01 22:27:57.775,2011-10-01 22:27:57.775
173691,1,2011-10-01 22:33:54.614,2011-10-01 22:33:54.614
173691,6,2011-10-01 22:35:46.016,2011-10-01 22:35:46.016
173691,15,2011-10-01 22:35:46.016,2011-10-01 22:35:46.016
173691,13,2011-10-01 22:35:47.488,2011-10-01 22:35:47.488
173691,16,2011-10-01 22:35:47.583,2011-10-01 22:35:47.583
173691,16,2011-10-01 22:35:47.583,2011-10-01 22:35:47.583
173691,20,2011-10-01 22:35:48.791,2011-10-01 22:35:48.791
173691,22,2011-10-01 22:36:13.443,2011-10-01 22:36:13.443
173691,22,2011-10-01 22:36:25.794,2011-10-01 22:36:25.794
173691,22,2011-10-04 01:54:43.257,2011-10-04 01:54:43.257
173691,15,2011-10-04 01:56:17.731,2011-10-04 01:56:17.731
173691,12,2011-10-04 01:56:17.731,2011-10-04 01:56:17.731
173691,13,2011-10-04 01:56:19.613,2011-10-04 01:56:19.613
173691,16,2011-10-04 01:56:19.645,2011-10-04 01:56:19.645
173691,16,2011-10-04 01:56:19.645,2011-10-04 01:56:19.645
173691,22,2011-10-04 01:56:21.195,2011-10-04 01:56:21.195
173691,22,2011-10-04 01:56:34.792,2011-10-04 01:56:34.792
173691,22,2011-10-04 01:57:16.563,2011-10-04 01:57:16.563
173691,22,2011-10-10 19:13:44.827,2011-10-10 19:13:44.827
173691,17,2011-10-10 19:14:43.775,2011-10-10 19:14:43.775
173691,17,2011-10-10 19:14:43.775,2011-10-10 19:14:43.775
173691,22,2011-10-10 19:14:45.514,2011-10-10 19:14:45.514
173691,23,2011-10-10 20:12:36.612,2011-10-10 20:12:36.612
173691,23,2011-10-10 20:30:54.893,2011-10-10 20:30:54.893
173691,23,2011-10-10 23:11:42.124,2011-10-10 23:11:42.124
173691,23,2011-10-10 23:14:13.394,2011-10-10 23:14:13.394
173691,23,2011-10-10 23:14:52.842,2011-10-10 23:14:52.842
173691,11,2011-10-10 23:17:26.306,2011-10-10 23:17:26.306
173691,3,2011-10-10 23:17:26.307,2011-10-10 23:17:26.307
173691,9,2011-10-10 23:17:26.307,2011-10-10 23:17:26.307
173691,2,2011-10-10 23:17:26.307,2011-10-10 23:17:26.307
173691,23,2011-10-10 23:17:34.633,2011-10-10 23:17:34.633
173694,10,2011-10-01 16:10:30.287,2011-10-01 16:10:30.287
173694,7,2011-10-01 16:10:30.591,2011-10-01 16:10:30.591
173694,8,2011-10-01 16:11:13.026,2011-10-01 16:11:13.026
173694,8,2011-10-01 16:11:13.026,2011-10-01 16:11:13.026
173694,20,2011-10-01 19:31:25.301,2011-10-01 19:31:25.301
